stock_id,date,revenue
1234,2024-07-01,801125000
1234,2024-08-01,993979000
1234,2024-09-01,1119093000
1234,2024-10-01,944042000
1234,2024-11-01,750036000
1234,2024-12-01,818973000
1234,2025-01-01,708329000
1234,2025-02-01,842531000
1234,2025-03-01,777480000
1234,2025-04-01,609760000
1234,2025-05-01,799538000
1234,2025-06-01,898472000
1234,2025-07-01,768937000
1234,2025-08-01,846219000
1234,2025-09-01,887896000
1234,2025-10-01,877543000
1234,2025-11-01,877976000
1234,2025-12-01,684260000
1234,2026-01-01,640539000
1234,2026-02-01,794428000
1234,2026-03-01,805443000
1234,2026-04-01,728461000
1234,2026-05-01,685646000
1235,2024-02-01,5435000
1235,2024-03-01,2152000
1235,2024-04-01,9674000
1235,2024-05-01,9192000
1235,2024-06-01,3771000
1235,2024-07-01,10550000
1235,2024-08-01,6081000
1235,2024-09-01,13339000
1235,2024-10-01,13412000
1235,2024-11-01,14331000
1235,2024-12-01,13168000
1235,2025-01-01,11593000
1235,2025-02-01,8607000
1235,2025-03-01,1746000
1235,2025-04-01,18067000
1235,2025-05-01,14427000
1235,2025-06-01,12837000
1235,2025-07-01,12486000
1235,2025-08-01,12929000
1235,2025-09-01,18931000
1235,2025-10-01,19629000
1235,2025-11-01,20135000
1235,2025-12-01,24760000
1235,2026-01-01,11362000
1235,2026-02-01,23862000
1235,2026-03-01,15848000
1235,2026-04-01,27060000
1235,2026-05-01,14862000
1236,2024-02-01,344600000
1236,2024-03-01,98637000
1236,2024-04-01,130365000
1236,2024-05-01,111821000
1236,2024-06-01,130569000
1236,2024-07-01,100673000
1236,2024-08-01,162934000
1236,2024-09-01,158879000
1236,2024-10-01,182447000
1236,2024-11-01,133509000
1236,2024-12-01,158057000
1236,2025-01-01,265285000
1236,2025-02-01,295078000
1236,2025-03-01,87822000
1236,2025-04-01,133073000
1236,2025-05-01,125303000
1236,2025-06-01,112127000
1236,2025-07-01,96579000
1236,2025-08-01,136074000
1236,2025-09-01,163447000
1236,2025-10-01,229974000
1236,2025-11-01,116272000
1236,2025-12-01,120899000
1236,2026-01-01,196864000
1236,2026-02-01,303656000
1236,2026-03-01,138565000
1236,2026-04-01,103266000
1236,2026-05-01,122248000
1240,2024-02-01,274994000
1240,2024-03-01,210084000
1240,2024-04-01,229752000
1240,2024-05-01,232329000
1240,2024-06-01,271224000
1240,2024-07-01,202316000
1240,2024-08-01,237262000
1240,2024-09-01,240258000
1240,2024-10-01,217975000
1240,2024-11-01,243146000
1240,2024-12-01,237267000
1240,2025-01-01,260294000
1240,2025-02-01,231435000
1240,2025-03-01,202227000
1240,2025-04-01,249994000
1240,2025-05-01,211888000
1240,2025-06-01,237227000
1240,2025-07-01,217592000
1240,2025-08-01,214130000
1240,2025-09-01,230525000
1240,2025-10-01,250266000
1240,2025-11-01,235015000
1240,2025-12-01,222573000
1240,2026-01-01,240962000
1240,2026-02-01,216068000
1240,2026-03-01,205555000
1240,2026-04-01,268329000
1240,2026-05-01,236451000
1256,2024-02-01,426241000
1256,2024-03-01,201498000
1256,2024-04-01,242623000
1256,2024-05-01,438938000
1256,2024-06-01,343021000
1256,2024-07-01,414117000
1256,2024-08-01,450868000
1256,2024-09-01,419072000
1256,2024-10-01,432465000
1256,2024-11-01,205949000
1256,2024-12-01,193180000
1256,2025-01-01,234226000
1256,2025-02-01,328850000
1256,2025-03-01,179442000
1256,2025-04-01,226637000
1256,2025-05-01,291642000
1256,2025-06-01,384691000
1256,2025-07-01,377955000
1256,2025-08-01,507659000
1256,2025-09-01,516828000
1256,2025-10-01,419697000
1256,2025-11-01,232172000
1256,2025-12-01,240414000
1256,2026-01-01,408763000
1256,2026-02-01,448137000
1256,2026-03-01,336653000
1256,2026-04-01,356169000
1256,2026-05-01,455560000
1259,2024-02-01,494412000
1259,2024-03-01,494983000
1259,2024-04-01,503760000
1259,2024-05-01,482451000
1259,2024-06-01,522659000
1259,2024-07-01,519896000
1259,2024-08-01,517001000
1259,2024-09-01,535781000
1259,2024-10-01,502555000
1259,2024-11-01,496296000
1259,2024-12-01,495023000
1259,2025-01-01,490001000
1259,2025-02-01,532865000
1259,2025-03-01,442735000
1259,2025-04-01,494052000
1259,2025-05-01,479095000
1259,2025-06-01,531652000
1259,2025-07-01,517989000
1259,2025-08-01,511150000
1259,2025-09-01,518800000
1259,2025-10-01,505139000
1259,2025-11-01,518315000
1259,2025-12-01,503596000
1259,2026-01-01,507963000
1259,2026-02-01,510795000
1259,2026-03-01,493761000
1259,2026-04-01,517804000
1259,2026-05-01,488504000
1264,2024-02-01,680468000
1264,2024-03-01,342042000
1264,2024-04-01,522003000
1264,2024-05-01,532647000
1264,2024-06-01,538142000
1264,2024-07-01,503752000
1264,2024-08-01,566145000
1264,2024-09-01,606527000
1264,2024-10-01,596871000
1264,2024-11-01,519130000
1264,2024-12-01,597849000
1264,2025-01-01,750420000
1264,2025-02-01,681442000
1264,2025-03-01,412565000
1264,2025-04-01,554832000
1264,2025-05-01,567719000
1264,2025-06-01,540780000
1264,2025-07-01,495311000
1264,2025-08-01,545535000
1264,2025-09-01,526051000
1264,2025-10-01,626202000
1264,2025-11-01,511969000
1264,2025-12-01,550760000
1264,2026-01-01,685986000
1264,2026-02-01,720821000
1264,2026-03-01,451745000
1264,2026-04-01,562663000
1264,2026-05-01,630343000
1268,2024-02-01,555632000
1268,2024-03-01,636483000
1268,2024-04-01,487302000
1268,2024-05-01,386388000
1268,2024-06-01,444039000
1268,2024-07-01,485471000
1268,2024-08-01,440085000
1268,2024-09-01,470903000
1268,2024-10-01,519891000
1268,2024-11-01,442164000
1268,2024-12-01,487761000
1268,2025-01-01,573695000
1268,2025-02-01,781931000
1268,2025-03-01,466265000
1268,2025-04-01,487263000
1268,2025-05-01,410440000
1268,2025-06-01,539221000
1268,2025-07-01,465413000
1268,2025-08-01,459723000
1268,2025-09-01,494542000
1268,2025-10-01,512299000
1268,2025-11-01,515412000
1268,2025-12-01,540310000
1268,2026-01-01,554147000
1268,2026-02-01,650457000
1268,2026-03-01,753909000
1268,2026-04-01,583961000
1268,2026-05-01,514778000
1294,2024-08-01,77111000
1294,2024-09-01,71230000
1294,2024-10-01,50102000
1294,2024-11-01,41765000
1294,2024-12-01,53749000
1294,2025-01-01,57522000
1294,2025-02-01,41491000
1294,2025-03-01,59494000
1294,2025-04-01,73692000
1294,2025-05-01,72323000
1294,2025-06-01,52034000
1294,2025-07-01,70108000
1294,2025-08-01,57191000
1294,2025-09-01,68440000
1294,2025-10-01,70043000
1294,2025-11-01,60024000
1294,2025-12-01,70063000
1294,2026-01-01,83640000
1294,2026-02-01,90427000
1294,2026-03-01,61511000
1294,2026-04-01,76113000
1294,2026-05-01,76653000
1295,2025-04-01,95889000
1295,2025-05-01,116307000
1295,2025-06-01,104854000
1295,2025-07-01,87952000
1295,2025-08-01,63971000
1295,2025-09-01,75481000
1295,2025-10-01,71934000
1295,2025-11-01,96596000
1295,2025-12-01,81080000
1295,2026-01-01,106769000
1295,2026-02-01,81085000
1295,2026-03-01,54071000
1295,2026-04-01,79388000
1295,2026-05-01,104392000
1301,2024-02-01,17516214000
1301,2024-03-01,12932676000
1301,2024-04-01,17659603000
1301,2024-05-01,16660677000
1301,2024-06-01,17396479000
1301,2024-07-01,17051698000
1301,2024-08-01,17709919000
1301,2024-09-01,16140806000
1301,2024-10-01,16641520000
1301,2024-11-01,15738889000
1301,2024-12-01,18146582000
1301,2025-01-01,16445283000
1301,2025-02-01,13980022000
1301,2025-03-01,16129819000
1301,2025-04-01,17092363000
1301,2025-05-01,16172957000
1301,2025-06-01,14852023000
1301,2025-07-01,14362122000
1301,2025-08-01,14597054000
1301,2025-09-01,13103184000
1301,2025-10-01,14017714000
1301,2025-11-01,13410015000
1301,2025-12-01,13389395000
1301,2026-01-01,14304735000
1301,2026-02-01,13891082000
1301,2026-03-01,10739649000
1301,2026-04-01,17354391000
1301,2026-05-01,18326272000
1303,2024-02-01,20392952000
1303,2024-03-01,16711275000
1303,2024-04-01,21525681000
1303,2024-05-01,21880031000
