Code,Name,Industry,Ticker
1101,台泥,水泥工業,1101.TW
1102,亞泥,水泥工業,1102.TW
1103,嘉泥,水泥工業,1103.TW
1104,環泥,水泥工業,1104.TW
1108,幸福,水泥工業,1108.TW
1109,信大,水泥工業,1109.TW
1110,東泥,水泥工業,1110.TW
1201,味全,食品工業,1201.TW
1203,味王,食品工業,1203.TW
1210,大成,食品工業,1210.TW
1213,大飲,食品工業,1213.TW
1215,卜蜂,食品工業,1215.TW
1216,統一,食品工業,1216.TW
1217,愛之味,食品工業,1217.TW
1218,泰山,食品工業,1218.TW
1219,福壽,食品工業,1219.TW
1220,台榮,食品工業,1220.TW
1225,福懋油,食品工業,1225.TW
1227,佳格,食品工業,1227.TW
1229,聯華,食品工業,1229.TW
1231,聯華食,食品工業,1231.TW
1232,大統益,食品工業,1232.TW
1233,天仁,食品工業,1233.TW
1234,黑松,食品工業,1234.TW
1235,興泰,食品工業,1235.TW
1236,宏亞,食品工業,1236.TW
1256,鮮活果汁-KY,食品工業,1256.TW
1301,台塑,塑膠工業,1301.TW
1303,南亞,塑膠工業,1303.TW
1304,台聚,塑膠工業,1304.TW
1305,華夏,塑膠工業,1305.TW
1307,三芳,塑膠工業,1307.TW
1308,亞聚,塑膠工業,1308.TW
1309,台達化,塑膠工業,1309.TW
1310,台苯,塑膠工業,1310.TW
1312,國喬,塑膠工業,1312.TW
1313,聯成,塑膠工業,1313.TW
1314,中石化,塑膠工業,1314.TW
1315,達新,塑膠工業,1315.TW
1316,上曜,建材營造業,1316.TW
1319,東陽,汽車工業,1319.TW
1321,大洋,塑膠工業,1321.TW
1323,永裕,塑膠工業,1323.TW
1324,地球,塑膠工業,1324.TW
1325,恆大,塑膠工業,1325.TW
1326,台化,塑膠工業,1326.TW
1337,再生-KY,塑膠工業,1337.TW
1338,廣華-KY,汽車工業,1338.TW
1339,昭輝,汽車工業,1339.TW
1340,勝悅-KY,塑膠工業,1340.TW
1341,富林-KY,塑膠工業,1341.TW
1342,八貫,其他業,1342.TW
1402,遠東新,紡織纖維,1402.TW
1409,新纖,紡織纖維,1409.TW
1410,南染,紡織纖維,1410.TW
1413,宏洲,紡織纖維,1413.TW
1414,東和,紡織纖維,1414.TW
1416,廣豐,其他業,1416.TW
1417,嘉裕,紡織纖維,1417.TW
1418,東華,紡織纖維,1418.TW
1419,新紡,紡織纖維,1419.TW
1423,利華,紡織纖維,1423.TW
1432,大魯閣,運動休閒,1432.TW
1434,福懋,紡織纖維,1434.TW
1435,中福,其他業,1435.TW
1436,華友聯,建材營造業,1436.TW
1437,勤益控,其他業,1437.TW
1438,三地開發,建材營造業,1438.TW
1439,雋揚,建材營造業,1439.TW
1440,南紡,紡織纖維,1440.TW
1441,大東,紡織纖維,1441.TW
1442,名軒,建材營造業,1442.TW
1443,立益物流,其他業,1443.TW
1444,力麗,紡織纖維,1444.TW
1445,大宇,紡織纖維,1445.TW
1446,宏和,紡織纖維,1446.TW
1447,力鵬,紡織纖維,1447.TW
1449,佳和,紡織纖維,1449.TW
1451,年興,紡織纖維,1451.TW
1452,宏益,紡織纖維,1452.TW
1453,大將,建材營造業,1453.TW
1454,台富,紡織纖維,1454.TW
1455,集盛,紡織纖維,1455.TW
1456,怡華,建材營造業,1456.TW
1457,宜進,紡織纖維,1457.TW
1459,聯發,紡織纖維,1459.TW
